web-scraper-order,web-scraper-start-url,name,rating
1615498986-266,https://www.ubereats.com/search?pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkVsJTIwQ2VudHJvJTIwRGUlMjBRdWVyJUMzJUE5dGFybyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMkNoSUpXMUdLNDBwRjA0VVJwMkRaNnhMRVIzMCUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJnb29nbGVfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC41NDQ2NzU2JTJDJTIybG9uZ2l0dWRlJTIyJTNBLTEwMC40MzcxMDk3JTdE&q=Pizza,Splash Burger,New
1615498982-144,https://www.ubereats.com/search?pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMiVDMyU4MWxhbW9zJTIwZGVsJTIwTGFnbyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMjM4NDIxNTEzLWExODUtNzMwZi01YWM3LTJiZmFmMjQyOTU3MCUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJ1YmVyX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNjI0NDk3NyUyQyUyMmxvbmdpdHVkZSUyMiUzQS0xMDAuNDAyNjglN0Q%3D&q=Pizza,Tonino's (Plaza del Parque),4.7
1615498986-229,https://www.ubereats.com/search?pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkVsJTIwQ2VudHJvJTIwRGUlMjBRdWVyJUMzJUE5dGFybyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMkNoSUpXMUdLNDBwRjA0VVJwMkRaNnhMRVIzMCUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJnb29nbGVfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC41NDQ2NzU2JTJDJTIybG9uZ2l0dWRlJTIyJTNBLTEwMC40MzcxMDk3JTdE&q=Pizza,La neta alas y chelas,4.5
1615498986-252,https://www.ubereats.com/search?pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkVsJTIwQ2VudHJvJTIwRGUlMjBRdWVyJUMzJUE5dGFybyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMkNoSUpXMUdLNDBwRjA0VVJwMkRaNnhMRVIzMCUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJnb29nbGVfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC41NDQ2NzU2JTJDJTIybG9uZ2l0dWRlJTIyJTNBLTEwMC40MzcxMDk3JTdE&q=Pizza,La Campana Café & Bistro Las Trojes,4.5
1615498986-264,https://www.ubereats.com/search?pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkVsJTIwQ2VudHJvJTIwRGUlMjBRdWVyJUMzJUE5dGFybyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMkNoSUpXMUdLNDBwRjA0VVJwMkRaNnhMRVIzMCUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJnb29nbGVfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC41NDQ2NzU2JTJDJTIybG9uZ2l0dWRlJTIyJTNBLTEwMC40MzcxMDk3JTdE&q=Pizza,Futboleros Sports Bar y Fan,New
1615498975-45,https://www.ubereats.com/search?pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMk1pbGVuaW8lMjAzcmElMjBTZWNjaSVDMyVCM24lMjIlMkMlMjJyZWZlcmVuY2UlMjIlM0ElMjJDaElKODFiVkVsUmIwNFVSZFhXQnVwYnhhQjAlMjIlMkMlMjJyZWZlcmVuY2VUeXBlJTIyJTNBJTIyZ29vZ2xlX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNTk1MDk4NyUyQyUyMmxvbmdpdHVkZSUyMiUzQS0xMDAuMzUwMDMlN0Q%3D&q=Pizza,Promo Pizza Centro,New
1615498986-239,https://www.ubereats.com/search?pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkVsJTIwQ2VudHJvJTIwRGUlMjBRdWVyJUMzJUE5dGFybyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMkNoSUpXMUdLNDBwRjA0VVJwMkRaNnhMRVIzMCUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJnb29nbGVfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC41NDQ2NzU2JTJDJTIybG9uZ2l0dWRlJTIyJTNBLTEwMC40MzcxMDk3JTdE&q=Pizza,El Barrio de la Bocha,4.9
1615498982-205,https://www.ubereats.com/search?pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMiVDMyU4MWxhbW9zJTIwZGVsJTIwTGFnbyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMjM4NDIxNTEzLWExODUtNzMwZi01YWM3LTJiZmFmMjQyOTU3MCUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJ1YmVyX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNjI0NDk3NyUyQyUyMmxvbmdpdHVkZSUyMiUzQS0xMDAuNDAyNjglN0Q%3D&q=Pizza,Casa Apothecarius,New
1615498979-105,https://www.ubereats.com/search?pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkp1cmlxdWlsbGElMjBTYW50YSUyMEZlJTIyJTJDJTIycmVmZXJlbmNlJTIyJTNBJTIyMGUxOWIwYjAtYzIzMi00YTljLWQ0YTctM2ZmZjI0ODkwNjk0JTIyJTJDJTIycmVmZXJlbmNlVHlwZSUyMiUzQSUyMnViZXJfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC42OTQ1Njc1JTJDJTIybG9uZ2l0dWRlJTIyJTNBLTEwMC40NDIxMzUlN0Q%3D&q=Pizza,El Franchute Pizza / Kebab (Las Plazas),4
1615498979-112,https://www.ubereats.com/search?pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkp1cmlxdWlsbGElMjBTYW50YSUyMEZlJTIyJTJDJTIycmVmZXJlbmNlJTIyJTNBJTIyMGUxOWIwYjAtYzIzMi00YTljLWQ0YTctM2ZmZjI0ODkwNjk0JTIyJTJDJTIycmVmZXJlbmNlVHlwZSUyMiUzQSUyMnViZXJfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC42OTQ1Njc1JTJDJTIybG9uZ2l0dWRlJTIyJTNBLTEwMC40NDIxMzUlN0Q%3D&q=Pizza,Experiencia Gourmet Liverpool (Antea),4.6
