web-scraper-order,web-scraper-start-url,titulo,precio,habts,ban,mets
1620505853-11127,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?page=1,Departamento en renta Milenio 3 habitaciones AVH,"$14,000",3,"2
                                    
                                
                                Baños",146 m²
1620505853-11121,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?page=1,"Loft en Renta, en Milenio 3a. Sección, Querétaro","$9,650",1,"1
                                    
                                
                                Baño",27 m²
1620505681-10706,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/departamento/for-rent/,RENTA DEPARTAMENTO PALMAS CONDESA,"$11,500",2,"2
                                    
                                
                                Baños",134 m²
1620506008-11531,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=4,"D*RENTA DE DEPARTAMENTO EN JURIQUILLA $18,000.00 AMUEBLADO VISTA PANORÁMICA","$18,000",1,"1
                                    
                                
                                Baño",120 m²
1620505741-10822,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=2,DEPARTAMENTO EN RENTA EN SIERRA AZUL CON VISTA A LA CIUDAD CAMPANARIO QUERETARO,"$23,890",2,"2
                                    
                                
                                Baños",210 m²
1620506023-11593,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=2,RENTA DEPARTAMENTO EN JURIQUILLA SANTA FE JACUZZI,"$12,500",3,"3
                                    
                                
                                Baños",210 m²
1620505997-11505,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=5,Departamento - Juriquilla,"$15,400",3,"2
                                    
                                
                                Baños",97 m²
1620505817-11029,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?page=3,"Renta de departamento Milenio, Querétaro","$23,000",2,"2
                                    
                                
                                Baños",134 m²
1620505853-11120,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?page=1,RENTA DEPARTAMENTO EN CONDOMINIO CON ALBERCA MILENIO III,"$10,000",2,"2
                                    
                                
                                Baños",100 m²
1620505907-11238,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?page=1,"DEPARTAMENTO EN RENTA 3 RECAMARAS CON ALBERCA, QUERETARO","$12,500",3,"2
                                    
                                
                                Baños",120 m²
1620505997-11524,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=5,Departamento - Juriquilla,"$22,000",2,"2
                                    
                                
                                Baños",145 m²
1620506023-11607,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=2,Departamento - Juriquilla,"$20,000",3,"3
                                    
                                
                                Baños",186 m²
1620505780-10937,https://www.lamudi.com.mx/queretaro-arteaga/el-marques/el-mirador-128/departamento/for-rent/?page=2,Departamento en Centro Sur de 157 mts2 y 2 dormitorios! ATC,"$23,000",2,"2
                                    
                                
                                Baños",157 m²
1620505725-10807,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=3,Departamento sin amueblar en la zona de mayor plusvalía de Querétaro! RAHQRO,"$25,000",2,"2
                                    
                                
                                Baños",76 m²
1620505960-11386,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=9,Renta  Departamento Queretaro  2 rec  Biosfera Juriquilla,"$15,000",2,"2
                                    
                                
                                Baños",111 m²
1620505891-11183,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?page=2,Querétaro  El Refugio increíble departamento en renta,"$15,900",3,"3
                                    
                                
                                Baños",157 m²
1620505780-10934,https://www.lamudi.com.mx/queretaro-arteaga/el-marques/el-mirador-128/departamento/for-rent/?page=2,Departamento en Latitud - La Victoria,"$19,000",3,"2
                                    
                                
                                Baños",129 m²
1620505979-11439,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=7,RENTA DEPARTAMENTO AMUEBLADO EN JURIQUILLA SANTA FE 1 DORMITORIO,"$22,500",1,"2
                                    
                                
                                Baños",98 m²
