web-scraper-order,web-scraper-start-url,titulo,precio,habts,ban,mets
1620498491-7453,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?page=17,"Casa en venta en Cumbres del Lago con Roof Garden, Jardín y Alberca RAHQRO","$4,200,000",3,4,271
1620505905-11237,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=9,Casa en venta en calle cerrada,"$11,350,000",5,6,920
1620503917-8905,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=13,DECIDE SER FELIZ EN ESTA HERMOSA CASA EN VENTA EN UNA DE LAS MEJORES ZONAS DE QUERETARO,"$6,400,000",2,3,260
1620499645-7646,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?page=11,"Cumbres del Lago, linda casa con Roof Garden a estrenar para venta. FVR","$5,490,000",4,5,280
1620516205-13850,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=22,VENTA CASA EN EL REFUGIO 3 RECAMARAS 4 BAÑOS,"$3,399,000",3,4,180
1620516895-13937,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=19,CASA EN VENTA EN EL REFUGIO,"$5,000,000",2,3,274
1620514736-13690,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=27,"Estrene Casa Nueva en Fraccionamiento de Alta Plusvalía, en Esquina","$3,590,000",3,2.5,144
1620524734-14746,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-sale/?page=1,Casa en Condominio en Venta Querétaro,"$1,749,000",2,2,122
1620519119-14186,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=10,"El Refugio, Exclusivas casas para la venta en privada con acabados de lujo. FVR","$4,100,000",4,3,140
1620510923-12168,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-sale/?page=3,Casa en Milenio 3a. Sección,"$1,340,813",3,2,146
1620501155-7786,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?page=6,Casa en venta.,"$8,650,000",4,5,540
1620509125-11974,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-sale/?page=10,Casa con Roof Garden y Vista a Los Arcos de Querétaro SRM 21-1096,"$3,975,000",3,3,140
1620517329-13986,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=17,Casa en Venta en El Refugio,"$3,790,000",2,2,177
1620517376-13992,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=17,Casa con amenidades en venta El Refugio OFP 19-733,"$2,566,435",2,2,190
1620521113-14384,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=4,Casa de entrega inmediata en El Refugio de 152 mts2! GOC,"$2,465,000",2,4,152
1620518146-14072,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=14,Casa en venta El Refugio 4 habitaciones JRH,"$2,700,000",4,3.5,110
1620508553-11915,https://www.lamudi.com.mx/queretaro-arteaga/corregidora/el-pueblito-13/casa/for-sale/?page=2,"Ex- 947 hermosa casa en el pueblito de 4 dormitorios, 280 mts2 y jardín privado!","$3,300,000",4,4,300
1620516060-13830,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=22,Casa en venta El Refugio 3 habitaciones JRH,"$3,190,749",3,3.5,150
1620521462-14421,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=2,"CASA EN VENTA  HABITACIÓN EN PLANTA BAJA FRACCIONAMIENTO REFUGIO,  QUERÉTARO","$4,780,000",3,4,241
1620514710-13687,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=27,CASA EN VENTA DENTRO DEL REFUGIO,"$3,640,000",3,2,193
1620503598-8875,https://www.lamudi.com.mx/queretaro-arteaga/corregidora/los-candiles-1/casa/for-sale/,"Casa en Venta en Candiles Corregidora, Qro.","$1,600,000",2,1,109
1620513283-12524,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=30,CASA EN VENTA EN QUERETATO,"$2,785,421",2,2,151
1620506141-11661,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=9,Casa en venta Jurica 5 habitaciones JGCC,"$11,350,000",5,5.5,920
1620501852-7866,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?page=3,"Preciosa Casa en La Condesa Juriquilla, Estudio o 4ta Recamara en PB, 4 Baños..","$3,600,000",2,4,225
1620524088-14679,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-sale/?page=4,Casa en El Mirador de 3 dormitorios y cocina equipada! ATC,"$2,550,000",2,3,178
1620512828-12470,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=32,El Refugio casa de 3 recamaras y 190 mts2! RAHQRO,"$3,990,000",2,3,190
